Season,Player,Age,Tm,Pos,GP,G,GPG,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%,MoreThan50
1982,Wayne Gretzky*,21.0, EDM , C ,80,92,1.15,120, 212 , 81 , 26 , 68 , 18 , 6 , 12 , 79 , 39 , 2 , 369 , 25 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1984,Wayne Gretzky*,23.0, EDM , C ,74,87,1.1757,118, 205 , 76 , 39 , 55 , 20 , 12 , 11 , 82 , 25 , 11 , 324 , 27 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1991,Brett Hull*,26.0, STL , RW ,78,86,1.1026,45, 131 , 23 , 22 , 57 , 29 , -   , 11 , 29 , 16 , -   , 389 , 22 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1989,Mario Lemieux*,23.0, PIT , C ,76,85,1.1184,114, 199 , 41 , 100 , 41 , 31 , 13 , 8 , 61 , 48 , 5 , 313 , 27 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Alexander Mogilny,23.0, BUF , RW ,77,76,0.987,51, 127 , 7 , 40 , 49 , 27 , -   , 11 , 29 , 21 , 1 , 360 , 21 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1971,Phil Esposito*,28.0, BOS , C ,78,76,0.9744,76, 152 , 71 , 71 , 50 , 25 , 1 , 16 , 49 , 26 , 1 , 550 , 14 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Teemu Selanne,22.0, WIN , RW ,84,76,0.9048,56, 132 , 8 , 45 , 52 , 24 , -   , 7 , 31 , 25 , -   , 387 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1985,Wayne Gretzky*,24.0, EDM , C ,80,73,0.9125,135, 208 , 98 , 52 , 54 , 8 , 11 , 7 , 93 , 35 , 7 , 358 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1990,Brett Hull*,25.0, STL , RW ,80,72,0.9,41, 113 ,-1 , 24 , 45 , 27 , -   , 12 , 24 , 17 , -   , 385 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1983,Wayne Gretzky*,22.0, EDM , C ,80,71,0.8875,125, 196 , 60 , 59 , 47 , 18 , 6 , 9 , 85 , 36 , 4 , 348 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1985,Jari Kurri*,24.0, EDM , RW ,73,71,0.9726,64, 135 , 76 , 30 , 54 , 14 , 3 , 13 , 47 , 14 , 3 , 261 , 27 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1989,Bernie Nicholls,27.0, LAK , C ,79,70,0.8861,80, 150 , 30 , 96 , 41 , 21 , 8 , 6 , 46 , 28 , 6 , 385 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1988,Mario Lemieux*,22.0, PIT , C ,77,70,0.9091,98, 168 , 23 , 92 , 38 , 22 , 10 , 7 , 36 , 58 , 4 , 382 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1992,Brett Hull*,27.0, STL , RW ,73,70,0.9589,39, 109 ,-2 , 48 , 45 , 20 , 5 , 9 , 19 , 20 , -   , 408 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1979,Mike Bossy*,22.0, NYI , RW ,80,69,0.8625,57, 126 , 63 , 25 , 42 , 27 , -   , 9 , 34 , 23 , -   , 279 , 25 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Mario Lemieux*,27.0, PIT , C ,60,69,1.15,91, 160 , 55 , 38 , 47 , 16 , 6 , 10 , 49 , 39 , 3 , 286 , 24 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1996,Mario Lemieux*,30.0, PIT , C ,70,69,0.9857,92, 161 , 10 , 54 , 30 , 31 , 8 , 8 , 43 , 48 , 1 , 338 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1986,Jari Kurri*,25.0, EDM , RW ,78,68,0.8718,63, 131 , 45 , 22 , 46 , 16 , 6 , 9 , 39 , 20 , 4 , 236 , 29 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1981,Mike Bossy*,24.0, NYI , RW ,79,68,0.8608,51, 119 , 37 , 32 , 38 , 28 , 2 , 10 , 36 , 15 , -   , 315 , 22 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1974,Phil Esposito*,31.0, BOS , C ,78,68,0.8718,77, 145 , 51 , 58 , 50 , 14 , 4 , 9 , 49 , 26 , 2 , 393 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1983,Lanny McDonald*,29.0, CGY , RW ,80,66,0.825,32, 98 ,-2 , 90 , 49 , 17 , -   , 8 , 16 , 16 , -   , 272 , 24 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1972,Phil Esposito*,29.0, BOS , C ,76,66,0.8684,67, 133 , 55 , 76 , 36 , 28 , 2 , 16 , 41 , 24 , 2 , 426 , 16 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2008,Alex Ovechkin,22.0, WSH , LW ,82,65,0.7927,47, 112 , 28 , 40 , 43 , 22 , -   , 11 , 32 , 15 , -   , 446 , 15 ," 1,894 ",23:06,44.0,220.0,7.0,11.0,38.9,True
1989,Steve Yzerman*,23.0, DET , C ,80,65,0.8125,90, 155 , 17 , 61 , 45 , 17 , 3 , 7 , 56 , 29 , 5 , 388 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1982,Mike Bossy*,25.0, NYI , RW ,80,64,0.8,83, 147 , 69 , 22 , 47 , 17 , -   , 10 , 54 , 29 , -   , 301 , 21 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Luc Robitaille*,26.0, LAK , LW ,84,63,0.75,62, 125 , 18 , 100 , 37 , 24 , 2 , 8 , 39 , 21 , 2 , 265 , 24 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1987,Wayne Gretzky*,26.0, EDM , C ,79,62,0.7848,121, 183 , 70 , 28 , 42 , 13 , 7 , 4 , 82 , 33 , 6 , 288 , 22 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1990,Steve Yzerman*,24.0, DET , C ,79,62,0.7848,65, 127 ,-6 , 79 , 39 , 16 , 7 , 8 , 40 , 21 , 4 , 332 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
