Tm,G,A,S,PTS
 TOT ,26715,46829,274061,73544
 MTL ,18064,28960,112932,47024
 BOS ,17462,28124,116334,45586
 DET ,16885,27073,112512,43958
 NYR ,16230,26631,110189,42861
 TOR ,16375,25842,107853,42217
 PHI ,12127,19937,113572,32064
 PIT ,11699,19427,105200,31126
 LAK ,11293,18699,106216,29992
 BUF ,11024,18040,101517,29064
 STL ,10779,17804,103169,28583
 VAN ,10482,17445,99432,27927
 NYI ,10495,17396,95782,27891
 WSH ,9909,16341,91690,26250
 CBH ,9742,15722,43354,25464
 EDM ,9089,15226,78568,24315
 CGY ,8716,14564,79771,23280
 NJD ,7697,12969,77376,20666
 CHI ,6653,11126,66267,17779
 MNS ,6133,9937,57205,16070
 SJS ,5311,9010,55626,14321
 OTT ,5202,8627,54527,13829
 DAL ,4982,8501,50415,13483
 COL ,4714,8095,47337,12809
 TBL ,4711,7949,49697,12660
 WIN ,4379,7238,36950,11617
 FLA ,4289,7123,48248,11412
 QUE ,4203,7120,32683,11323
 HAR ,4078,6584,35485,10662
 CAR ,3865,6416,42956,10281
 NSH ,3818,6431,40502,10249
 MIN ,3276,5614,34656,8890
 PHX ,3089,5369,33566,8458
 CBJ ,3129,5222,34923,8351
 ANA ,2409,4095,25013,6504
 MDA ,2120,3456,22690,5576
 ATL ,2026,3417,21083,5443
 ATF ,1778,2879,16039,4657
 WPG ,1460,2455,15610,3915
 CLR ,1164,1837,10937,3001
 CGS ,1152,1825,11555,2977
 ARI ,640,1079,7823,1719
 OAK ,491,762,5509,1253
 CLE ,398,661,3757,1059
 KCS ,311,506,3543,817
 VEG ,253,422,2511,675
 NYA ,193,296,0,489
 BRO ,126,193,0,319
